Company Code,Fiscal Year,Posting period,Posting Date,Document Date,G/L Account,Reference,Document Currency,Tax Code,Amount in Doc. Curr.,Document Type,Value date,Text
1234,2025,7,7/24/2025,7/24/2025,13003115,629,USD,YA,"4,600.00",RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,582,USD,YI,385.71,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/22/2025,7/15/2025,13003115,191,USD,YA,"12,412.43",RE,7/22/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,557,USD,YI,"3,235.80",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,896,USD,YI,953.58,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/26/2025,13003115,324,EUR,YI,"31,897.09",RE,7/1/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/6/2025,7/1/2025,13003115,730,EUR,YI,"5,789.93",RE,7/6/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/21/2025,7/21/2025,13003115,766,GBP,YA,"2,237.90",RE,7/21/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/30/2025,13003115,266,EUR,YI,"2,076.44",RE,6/30/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/30/2025,13003115,266,EUR,YI,519.11,RE,6/30/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,286,USD,YI,385.71,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/7/2025,13003115,981,USD,YA,"34,649.04",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/21/2025,7/17/2025,13003115,775,USD,YA,"4,740.53",RE,7/21/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/15/2025,6/30/2025,13003115,733,EUR,YA,"8,551.11",RE,7/15/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/27/2025,7/15/2025,13003115,523,GBP,YA,"2,302.67",RE,7/27/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/27/2025,7/15/2025,13003115,523,GBP,YA,255.85,RE,7/27/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,468,USD,YI,"1,299.27",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,304,USD,YI,"9,965.90",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,125,USD,YI,516.89,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,6/12/2025,13003115,469,USD,YA,"17,025.75",RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/2/2025,7/2/2025,13003115,870,USD,YA,"13,695.12",RE,7/2/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/11/2025,7/11/2025,13003115,806,EUR,YI,"5,689.61",RE,7/11/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,319,USD,YI,264.04,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,7/15/2025,13003115,581,GBP,YA,"2,138.61",RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,7/15/2025,13003115,581,GBP,YA,568.49,RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/15/2025,7/15/2025,13003115,664,USD,YA,"2,094.84",RE,7/15/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/2/2025,4/28/2025,13003115,35,USD,YA,"8,280.00",RE,7/2/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,172,USD,YI,316.71,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,704,EUR,YA,"2,252.57",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,600,USD,YI,332.58,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/23/2025,7/23/2025,13003115,963,USD,YI,"2,872.24",RE,7/23/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,652,USD,YI,127.42,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,777,USD,YI,740.70,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
